No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック
1	＋	キャッシュフローとは	51	590	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
2	＋	キャッシュフロー	33	18100	記事	Know（キャッシュフローの概要を知りたい）	解説記事	基礎解説
3	＋	キャッシュフロー計算書	33	14800	記事	Know（CF計算書の作り方を知りたい）	解説記事	会計・計算書（対象外）
4	＋	キャッシュフロー表	42	1900	記事	Do（CF表を作りたい）	ハウツー記事	CF表作成
5	＋	キャッシュフロークワドラント	34	2400	削除			ゲーム（無関係）
6	＋	キャッシュフロー計算書 作り方	33	1600	記事	Know（CF計算書の作り方を知りたい）	解説記事	会計・計算書（対象外）
7	＋	キャッシュフロー 計算方法	48	1000	計算ページ	Do（CFを計算したい）	計算ツール	
8	＋	キャッシュフロー計算書とは	33	720	記事	Know（CF計算書の作り方を知りたい）	解説記事	会計・計算書（対象外）
9	＋	キャッシュフロー計算書 ひな形	33	720	記事	Know（CF計算書の作り方を知りたい）	解説記事	会計・計算書（対象外）
10	＋	キャッシュフロー計算書 間接法	30	1000	記事	Know（CF計算書の作り方を知りたい）	解説記事	会計・計算書（対象外）
11	＋	キャッシュフロー とは	51	590	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
12	＋	キャッシュフロー 見方	46	590	記事	Know（CFの見方を知りたい）	解説記事	分析・読み方
13	＋	キャッシュフロー 意味	33	480	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
14	＋	キャッシュフロー ゲーム	34	1900	削除			ゲーム（無関係）
15	＋	キャッシュフロー 減価償却費	30	480	記事	Know（キャッシュフローの概要を知りたい）	解説記事	基礎解説
16	＋	キャッシュフロー ボードゲーム	18	260	削除			ゲーム（無関係）
17	＋	キャッシュフロー 考え方	33	320	記事	Know（キャッシュフローの概要を知りたい）	解説記事	基礎解説
18	＋	キャッシュフロー 間接法	42	390	記事	Know（CF計算書の作り方を知りたい）	解説記事	会計・計算書（対象外）
19	＋	キャッシュフロー 図	45	390	記事	Know（CFの見方を知りたい）	解説記事	分析・読み方
20	＋＋	キャッシュフローとは わかりやすく	50	320	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
21	＋＋	キャッシュフローとは 個人	N/A	110	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
22	＋＋	キャッシュフローとは何か	85	30	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
23	＋＋	キャッシュフローとは 株	79	30	記事	Know（キャッシュフローの意味を知りたい）	解説記事	基礎解説
24	＋＋	キャッシュフローとは 簿記	61	10	記事	Know（会計上のCFを理解したい）	解説記事	会計・簿記（対象外）
