No	区分	キーワード	SEO難易度	月間検索数	判定	検索意図	ページ種類	トピック
1	＋	不動産投資 計算	N/A	50	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
2	＋	不動産投資 計算方法	45	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
3	＋	不動産投資 計算 エクセル	24	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
4	＋	不動産投資 計算ツール	31	0	削除			検索なし
5	＋	不動産投資 計算式	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
6	＋	不動産投資 計算シート	N/A	0	削除			検索なし
7	＋	不動産投資 計算 アプリ	33	0	削除			検索なし
8	＋	不動産投資 計算機	N/A	0	削除			検索なし
9	＋	減価償却費 不動産投資 計算	N/A	0	削除			検索なし
10	＋	ふるさと納税 不動産投資 計算	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
11	＋	不動産投資 キャッシュフロー 計算	26	30	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
12	＋	不動産投資 ローン 計算	N/A	30	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
13	＋	不動産投資 実質利回り 計算	45	20	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
14	＋	不動産投資 売却益 計算	46	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
15	＋	不動産投資 節税 計算	32	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
16	＋＋	不動産投資 利回り 計算方法	32	50	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
17	＋＋	不動産投資 減価償却 計算方法	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
18	＋＋	不動産投資 返済比率 計算方法	N/A	0	削除			検索なし
19	＋＋	不動産投資 実質利回り 計算方法	N/A	0	削除			検索なし
20	＋＋	不動産投資 借入金利子 計算方法	N/A	0	削除			検索なし
21	＋＋	不動産投資 節税 計算方法	N/A	0	削除			検索なし
22	＋＋	不動産投資 収支 計算 エクセル	25	30	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
23	＋＋	不動産投資 利回り 計算式	46	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
24	＋＋	不動産投資 減価償却費 計算方法	50	0	削除			検索なし
25	＋＋	不動産投資 ローン 金利 計算	52	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
26	＋α	不動産投資 回収 計算	26	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
27	＋α	不動産投資 還付金 計算	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
28	＋α	不動産投資 確定申告 計算	N/A	0	削除			検索なし
29	＋α	不動産投資 金利 計算	51	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
30	＋α	不動産投資 経費 計算	N/A	0	削除			検索なし
31	＋α	不動産投資 固定資産税 計算	46	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
32	＋α	不動産投資 収益 計算	27	30	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
33	＋α	不動産投資 収支 計算	42	20	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
34	＋α	不動産投資 所得税 計算	51	0	削除			検索なし
35	＋α	不動産投資 諸経費 計算	N/A	0	削除			検索なし
36	＋α	不動産投資 償却 計算	N/A	0	削除			検索なし
37	＋α	不動産投資 所得 計算	N/A	0	削除			検索なし
38	＋α	不動産投資 損益分岐点 計算	40	0	削除			検索なし
39	＋α	不動産投資 相続税 計算	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
40	＋α	不動産投資 手残り 計算	32	0	削除			検索なし
41	＋α	不動産投資 年利 計算	29	0	削除			検索なし
42	＋α	不動産投資 表面利回り 計算	50	0	削除			検索なし
43	＋α	不動産投資 ふるさと納税 計算	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
44	＋α	不動産投資 返済比率 計算	44	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
45	＋α	不動産投資 返済額 計算	N/A	0	削除			検索なし
46	＋α	不動産投資 利回り 計算	31	480	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
47	＋α	不動産投資 利益 計算	N/A	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
48	＋α	不動産投資 レバレッジ 計算	N/A	0	削除			検索なし
49	＋α	不動産投資 roi 計算	N/A	0	削除			検索なし
50	＋α	不動産投資 減価償却 計算	55	50	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
51	＋α	不動産投資 減価償却費 計算	53	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
52	＋α	不動産投資 純利回り 計算	N/A	0	削除			検索なし
53	＋α	不動産投資 住民税 計算	N/A	0	削除			検索なし
54	＋α	不動産投資 税金 計算	51	10	計算ページ	Do（不動産投資 計算を計算したい）	計算ツール	
55	＋α	不動産投資 売却 税金 計算	N/A	0	削除			検索なし
56	＋α	不動産投資 売却 計算	N/A	0	削除			検索なし
